사용일자,호선명,역명,승차,하차
20221126,2호선,서초,13753,11477
20221126,분당선,수서,12166,12540
20221126,3호선,수서,16312,16005
20221126,1호선,시청,20562,20941
20221126,2호선,신도림,46537,47346
20221126,경부선,신도림,3222,3736
20221126,경부선,영등포,48832,50125
20221126,5호선,올림픽공원(한국체대),5220,4765
20221126,5호선,왕십리(성동구청),3820,4755
20221126,1호선,청량리(서울시립대입구),19422,19926
20221126,4호선,혜화,36992,38371
20221126,2호선,홍대입구,78448,88489
20221125,7호선,가산디지털단지,47795,47535
20221125,경부선,가산디지털단지,19580,22566
20221125,2호선,강남,90988,89390
20221125,7호선,강남구청,18518,20763
20221125,2호선,건대입구,40600,43951
20221125,7호선,건대입구,14434,15446
20221125,9호선,고속터미널,16674,23455
20221125,3호선,고속터미널,54422,56710
20221125,7호선,고속터미널,20901,16255
20221125,9호선,국회의사당,21019,20805
20221125,5호선,김포공항,8030,7583
20221125,9호선,김포공항,8190,11324
20221125,3호선,도곡,5769,5969
20221125,1호선,동대문,11820,10561
20221125,2호선,뚝섬,25075,26784
20221125,2호선,사당,45809,51557
20221125,4호선,사당,31891,28052
20221125,1호선,서울역,61510,59273
20221125,신림선,서울지방병무청,2809,3076
20221125,2호선,서초,24925,23273
20221125,분당선,수서,16628,17483
20221125,3호선,수서,20749,20717
20221125,1호선,시청,28069,28445
20221125,2호선,신도림,55477,54111
20221125,경부선,신도림,4611,4815
20221125,경부선,영등포,48374,48345
20221125,5호선,올림픽공원(한국체대),5206,4340
20221125,5호선,왕십리(성동구청),4785,5695
20221125,1호선,청량리(서울시립대입구),21771,21809
20221125,4호선,혜화,41441,40919
20221125,2호선,홍대입구,69938,78976
20221124,경부선,가산디지털단지,19770,22802
20221124,7호선,가산디지털단지,48630,48655
20221124,2호선,강남,86436,83073
20221124,7호선,강남구청,18855,20630
20221124,2호선,건대입구,36938,39957
20221124,7호선,건대입구,14135,14856
20221124,9호선,고속터미널,14403,18433
20221124,3호선,고속터미널,45488,43496
20221124,7호선,고속터미널,17703,14754
20221124,9호선,국회의사당,18762,19282
20221124,9호선,김포공항,6460,10675
20221124,5호선,김포공항,7195,6973
20221124,3호선,도곡,5792,5930
20221124,1호선,동대문,11437,10818
20221124,2호선,뚝섬,24168,25571
20221124,2호선,사당,42627,46531
20221124,4호선,사당,29032,24604
20221124,1호선,서울역,54880,52078
20221124,신림선,서울지방병무청,2731,2897
20221124,2호선,서초,25068,23967
20221124,3호선,수서,19485,19919
20221124,분당선,수서,15738,16539
20221124,1호선,시청,29027,28932
20221124,2호선,신도림,53018,52774
20221124,경부선,신도림,4711,4868
20221124,경부선,영등포,40880,41360
20221124,5호선,올림픽공원(한국체대),5120,4288
20221124,5호선,왕십리(성동구청),4806,5748
20221124,1호선,청량리(서울시립대입구),20936,20924
20221124,4호선,혜화,38255,37767
20221124,2호선,홍대입구,62529,67075
20221123,7호선,가산디지털단지,48665,48943
20221123,경부선,가산디지털단지,19899,22758
20221123,2호선,강남,85083,81840
20221123,7호선,강남구청,18789,20777
20221123,7호선,건대입구,14096,14603
20221123,2호선,건대입구,36434,38857
20221123,7호선,고속터미널,16567,14312
20221123,3호선,고속터미널,42316,40258
20221123,9호선,고속터미널,13550,17389
20221123,9호선,국회의사당,19022,19859
20221123,9호선,김포공항,7056,10949
20221123,5호선,김포공항,7266,7156
20221123,3호선,도곡,5682,5720
20221123,1호선,동대문,11400,10734
20221123,2호선,뚝섬,23889,25722
20221123,2호선,사당,41831,46078
20221123,4호선,사당,28920,24453
20221123,1호선,서울역,52196,50180
20221123,신림선,서울지방병무청,2705,3041
20221123,2호선,서초,25449,24874
20221123,분당선,수서,14970,15724
20221123,3호선,수서,18986,19133
20221123,1호선,시청,28040,28400
20221123,2호선,신도림,52791,52296
20221123,경부선,신도림,4675,4811
20221123,경부선,영등포,40172,41239
20221123,5호선,올림픽공원(한국체대),5104,4389
20221123,5호선,왕십리(성동구청),4999,5681
20221123,1호선,청량리(서울시립대입구),20351,20180
20221123,4호선,혜화,39052,38932
20221123,2호선,홍대입구,61996,65648
20221122,경부선,가산디지털단지,19705,22799
20221122,7호선,가산디지털단지,48694,48971
20221122,2호선,강남,84540,81768
20221122,7호선,강남구청,18398,20425
20221122,7호선,건대입구,14167,14635
20221122,2호선,건대입구,35967,38066
20221122,3호선,고속터미널,41673,39531
20221122,9호선,고속터미널,13285,17106
20221122,7호선,고속터미널,16684,14341
20221122,9호선,국회의사당,24101,19991
20221122,5호선,김포공항,7253,6783
20221122,9호선,김포공항,6848,9769
20221122,3호선,도곡,5516,5496
20221122,1호선,동대문,11138,10582
20221122,2호선,뚝섬,23416,25215
20221122,2호선,사당,41505,45182
20221122,4호선,사당,28198,23817
20221122,1호선,서울역,52251,49543
20221122,신림선,서울지방병무청,2691,3066
20221122,2호선,서초,24539,23463
20221122,3호선,수서,18703,19254
20221122,분당선,수서,15049,15687
20221122,1호선,시청,28479,32104
20221122,2호선,신도림,50391,49753
20221122,경부선,신도림,4554,4674
20221122,경부선,영등포,39174,39818
20221122,5호선,올림픽공원(한국체대),4956,4301
20221122,5호선,왕십리(성동구청),4573,5237
20221122,1호선,청량리(서울시립대입구),20348,20141
20221122,4호선,혜화,37098,37139
20221122,2호선,홍대입구,60527,63566
20221121,경부선,가산디지털단지,19443,22849
20221121,7호선,가산디지털단지,48263,48114
20221121,2호선,강남,81922,78908
20221121,7호선,강남구청,17350,19381
20221121,2호선,건대입구,35239,38031
20221121,7호선,건대입구,13603,14052
20221121,3호선,고속터미널,42336,40529
20221121,7호선,고속터미널,17742,14502
20221121,9호선,고속터미널,13434,18003
20221121,9호선,국회의사당,24197,23493
20221121,5호선,김포공항,7330,6967
20221121,9호선,김포공항,7217,10187
20221121,3호선,도곡,5586,5350
20221121,1호선,동대문,11208,10906
20221121,2호선,뚝섬,22541,24229
20221121,2호선,사당,39122,43215
20221121,4호선,사당,27046,22823
20221121,1호선,서울역,52397,50716
20221121,신림선,서울지방병무청,2667,3065
20221121,2호선,서초,23374,22577
20221121,분당선,수서,15147,15823
20221121,3호선,수서,18582,19206
20221121,1호선,시청,26008,25963
20221121,경부선,신도림,4518,4596
20221121,2호선,신도림,49844,48800
20221121,경부선,영등포,38706,40194
20221121,5호선,올림픽공원(한국체대),4893,4294
20221121,5호선,왕십리(성동구청),4594,5139
20221121,1호선,청량리(서울시립대입구),20373,20261
20221121,4호선,혜화,33762,33489
20221121,2호선,홍대입구,58934,61753
20221120,7호선,가산디지털단지,12031,11066
20221120,경부선,가산디지털단지,5322,7342
20221120,2호선,강남,37499,36148
20221120,7호선,강남구청,6358,7107
20221120,2호선,건대입구,29094,30283
20221120,7호선,건대입구,9017,9738
20221120,7호선,고속터미널,16819,10430
20221120,9호선,고속터미널,13801,19732
20221120,3호선,고속터미널,50145,46328
20221120,9호선,국회의사당,6286,5860
20221120,9호선,김포공항,7273,10339
20221120,5호선,김포공항,6906,6663
20221120,3호선,도곡,2434,2409
20221120,1호선,동대문,10750,11189
20221120,2호선,뚝섬,12622,12593
20221120,4호선,사당,18842,17195
20221120,2호선,사당,25586,29010
20221120,1호선,서울역,39184,37959
20221120,신림선,서울지방병무청,1497,1678
20221120,2호선,서초,14918,13797
20221120,3호선,수서,12356,12968
20221120,분당선,수서,10061,9541
20221120,1호선,시청,12102,11432
20221120,2호선,신도림,33104,33961
20221120,경부선,신도림,2781,2949
20221120,경부선,영등포,38108,37263
20221120,5호선,올림픽공원(한국체대),3895,3615
20221120,5호선,왕십리(성동구청),2851,3420
20221120,1호선,청량리(서울시립대입구),13780,13929
20221120,4호선,혜화,35620,35007
20221120,2호선,홍대입구,61635,61396
20221119,7호선,가산디지털단지,16176,14456
20221119,경부선,가산디지털단지,7525,9776
20221119,2호선,강남,60075,61029
20221119,7호선,강남구청,11448,12718
20221119,7호선,건대입구,17751,18200
