자치구,월,유형,건수
은평구,3,부상자수,85
서대문구,3,부상자수,84
마포구,3,부상자수,114
양천구,3,부상자수,133
강서구,3,부상자수,154
구로구,3,부상자수,131
금천구,3,부상자수,79
영등포구,3,부상자수,274
동작구,3,부상자수,127
관악구,3,부상자수,170
서초구,3,부상자수,272
강남구,3,부상자수,410
송파구,3,부상자수,269
강동구,3,부상자수,144
종로구,4,발생건수,51
중구,4,발생건수,73
용산구,4,발생건수,87
성동구,4,발생건수,104
광진구,4,발생건수,99
동대문구,4,발생건수,122
중랑구,4,발생건수,124
성북구,4,발생건수,79
강북구,4,발생건수,93
도봉구,4,발생건수,58
노원구,4,발생건수,115
은평구,4,발생건수,71
서대문구,4,발생건수,79
마포구,4,발생건수,108
양천구,4,발생건수,112
강서구,4,발생건수,126
구로구,4,발생건수,126
금천구,4,발생건수,82
영등포구,4,발생건수,185
동작구,4,발생건수,96
관악구,4,발생건수,123
서초구,4,발생건수,188
강남구,4,발생건수,325
송파구,4,발생건수,225
강동구,4,발생건수,101
종로구,4,사망자수,0
중구,4,사망자수,0
용산구,4,사망자수,0
성동구,4,사망자수,0
광진구,4,사망자수,0
동대문구,4,사망자수,0
중랑구,4,사망자수,2
성북구,4,사망자수,1
강북구,4,사망자수,0
도봉구,4,사망자수,0
노원구,4,사망자수,1
은평구,4,사망자수,1
서대문구,4,사망자수,1
마포구,4,사망자수,1
양천구,4,사망자수,0
강서구,4,사망자수,2
구로구,4,사망자수,1
금천구,4,사망자수,0
영등포구,4,사망자수,0
동작구,4,사망자수,0
관악구,4,사망자수,2
서초구,4,사망자수,0
강남구,4,사망자수,1
송파구,4,사망자수,0
강동구,4,사망자수,1
종로구,4,부상자수,66
중구,4,부상자수,106
용산구,4,부상자수,126
성동구,4,부상자수,115
광진구,4,부상자수,131
동대문구,4,부상자수,150
중랑구,4,부상자수,178
성북구,4,부상자수,92
강북구,4,부상자수,113
도봉구,4,부상자수,74
노원구,4,부상자수,157
은평구,4,부상자수,93
서대문구,4,부상자수,112
마포구,4,부상자수,156
양천구,4,부상자수,155
강서구,4,부상자수,171
구로구,4,부상자수,150
